STATION_SEQ,STATION_ID,EASTING,NORTHING,WATER_ELEV,MEASUREMENT_DATE,MYEAR,REFERENCE_ELEVATION_CODE,REFERENCE_ELEVATION,DEPTH_TO_WATER
1013115,FSB121C,436176.21,3681346.43,198.86000000000001,2010-01-27,2010,S,256.60000000000002,57.740000000000002
1013115,FSB121C,436176.21,3681346.43,200.70000000000002,2006-10-30,2006,S,256.60000000000002,55.899999999999999
1013115,FSB121C,436176.21,3681346.43,197.89000000000001,2002-02-13,2002,S,256.60000000000002,58.710000000000001
1013115,FSB121C,436176.21,3681346.43,197.60000000000002,2003-04-09,2003,S,256.60000000000002,59
1013115,FSB121C,436176.21,3681346.43,206.08000000000001,1993-09-25,1993,S,256.60000000000002,50.520000000000003
1013115,FSB121C,436176.21,3681346.43,204.57000000000002,1994-02-15,1994,S,256.60000000000002,52.030000000000001
1013115,FSB121C,436176.21,3681346.43,204.07000000000002,1994-06-14,1994,S,256.60000000000002,52.530000000000001
1013115,FSB121C,436176.21,3681346.43,203.23000000000002,1994-11-16,1994,S,256.60000000000002,53.369999999999997
1013115,FSB121C,436176.21,3681346.43,204.46000000000004,1995-03-27,1995,S,256.60000000000002,52.140000000000001
1013115,FSB121C,436176.21,3681346.43,204.69000000000003,1995-08-09,1995,S,256.60000000000002,51.909999999999997
1013115,FSB121C,436176.21,3681346.43,204.12000000000003,1996-01-12,1996,S,256.60000000000002,52.479999999999997
1013115,FSB121C,436176.21,3681346.43,201.70000000000002,1997-10-15,1997,S,256.60000000000002,54.899999999999999
1013115,FSB121C,436176.21,3681346.43,204.98000000000002,1999-01-11,1999,S,256.60000000000002,51.619999999999997
1013115,FSB121C,436176.21,3681346.43,202.10000000000002,2004-07-01,2004,S,256.60000000000002,54.5
1013115,FSB121C,436176.21,3681346.43,204.10000000000002,1999-04-12,1999,S,256.60000000000002,52.5
1013115,FSB121C,436176.21,3681346.43,201.63000000000002,1999-10-15,1999,S,256.60000000000002,54.969999999999999
1013116,FSB122C,436350.93,3680993.49,193.09999999999999,2003-01-07,2003,S,218.19999999999999,25.100000000000001
1013116,FSB122C,436350.93,3680993.49,197.27999999999997,2006-08-08,2006,S,218.19999999999999,20.920000000000002
1013116,FSB122C,436350.93,3680993.49,195.06999999999999,2009-11-05,2009,S,218.97,23.899999999999999
1013116,FSB122C,436350.93,3680993.49,192.13,2002-10-03,2002,S,218.19999999999999,26.07
1013116,FSB122C,436350.93,3680993.49,195.06999999999999,2011-02-02,2011,S,218.97,23.899999999999999
1013116,FSB122C,436350.93,3680993.49,197.27999999999997,2004-04-14,2004,S,218.19999999999999,20.920000000000002
1013116,FSB122C,436350.93,3680993.49,192.76999999999998,2002-07-02,2002,S,218.19999999999999,25.43
1013116,FSB122C,436350.93,3680993.49,197.64999999999998,2005-10-20,2005,S,218.19999999999999,20.550000000000001
1013116,FSB122C,436350.93,3680993.49,195.22,2009-02-09,2009,S,218.97,23.75
1013116,FSB122C,436350.93,3680993.49,193.52999999999997,2002-04-01,2002,S,218.19999999999999,24.670000000000002
1013116,FSB122C,436350.93,3680993.49,193.45999999999998,2002-04-19,2002,S,218.19999999999999,24.739999999999998
1013116,FSB122C,436350.93,3680993.49,196.15000000000001,2011-04-13,2011,S,218.97,22.82
1013116,FSB122C,436350.93,3680993.49,197.37,2010-04-19,2010,S,218.97,21.600000000000001
1013116,FSB122C,436350.93,3680993.49,196.63,2003-07-02,2003,S,218.19999999999999,21.57
1013116,FSB122C,436350.93,3680993.49,193.60999999999999,2002-01-07,2002,S,218.19999999999999,24.59
1013116,FSB122C,436350.93,3680993.49,194.16,2001-09-25,2001,S,218.19999999999999,24.039999999999999
1013116,FSB122C,436350.93,3680993.49,194.19,2001-08-15,2001,S,218.19999999999999,24.010000000000002
1013116,FSB122C,436350.93,3680993.49,196.19999999999999,2007-01-29,2007,S,218.19999999999999,22
1013116,FSB122C,436350.93,3680993.49,195.16999999999999,2008-08-04,2008,S,218.97,23.800000000000001
1013116,FSB122C,436350.93,3680993.49,192.16999999999999,2002-10-17,2002,S,218.19999999999999,26.030000000000001
1013116,FSB122C,436350.93,3680993.49,196.25,2003-10-01,2003,S,218.19999999999999,21.949999999999999
1013116,FSB122C,436350.93,3680993.49,197.79999999999998,2006-01-31,2006,S,218.19999999999999,20.399999999999999
1013116,FSB122C,436350.93,3680993.49,195.06999999999999,2008-01-30,2008,S,218.97,23.899999999999999
1013116,FSB122C,436350.93,3680993.49,195.77000000000001,2009-04-29,2009,S,218.97,23.199999999999999
1013116,FSB122C,436350.93,3680993.49,200.14999999999998,1991-07-29,1991,S,218.19999999999999,18.050000000000001
1013116,FSB122C,436350.93,3680993.49,200.5,1991-04-15,1991,S,218.19999999999999,17.699999999999999
1013116,FSB122C,436350.93,3680993.49,199.20999999999998,1994-06-14,1994,S,218.19999999999999,18.989999999999998
1013116,FSB122C,436350.93,3680993.49,201.72,1993-06-19,1993,S,218.19999999999999,16.48
1013116,FSB122C,436350.93,3680993.49,201.81,1993-05-13,1993,S,218.19999999999999,16.390000000000001
1013116,FSB122C,436350.93,3680993.49,200.00999999999999,1992-11-19,1992,S,218.19999999999999,18.190000000000001
1013116,FSB122C,436350.93,3680993.49,195.14999999999998,2001-03-20,2001,S,218.19999999999999,23.050000000000001
1013116,FSB122C,436350.93,3680993.49,194.66999999999999,2000-12-20,2000,S,218.19999999999999,23.530000000000001
1013116,FSB122C,436350.93,3680993.49,201.25999999999999,1992-01-26,1992,S,218.19999999999999,16.940000000000001
1013116,FSB122C,436350.93,3680993.49,201.13999999999999,1995-02-21,1995,S,218.19999999999999,17.059999999999999
1013116,FSB122C,436350.93,3680993.49,199.52999999999997,1994-05-18,1994,S,218.19999999999999,18.670000000000002
1013116,FSB122C,436350.93,3680993.49,200.16999999999999,1994-03-22,1994,S,218.19999999999999,18.030000000000001
1013116,FSB122C,436350.93,3680993.49,200.10999999999999,1993-11-15,1993,S,218.19999999999999,18.09
1013116,FSB122C,436350.93,3680993.49,200.59999999999999,1993-09-25,1993,S,218.19999999999999,17.600000000000001
1013116,FSB122C,436350.93,3680993.49,195.32999999999998,2000-10-06,2000,S,218.19999999999999,22.870000000000001
1013116,FSB122C,436350.93,3680993.49,195.26999999999998,2000-06-23,2000,S,218.19999999999999,22.93
1013116,FSB122C,436350.93,3680993.49,196.23999999999998,2000-03-15,2000,S,218.19999999999999,21.960000000000001
1013116,FSB122C,436350.93,3680993.49,199.89999999999998,1995-08-10,1995,S,218.19999999999999,18.300000000000001
1013116,FSB122C,436350.93,3680993.49,200.79999999999998,1995-03-27,1995,S,218.19999999999999,17.399999999999999
1013116,FSB122C,436350.93,3680993.49,198.50999999999999,1994-09-29,1994,S,218.19999999999999,19.690000000000001
1013116,FSB122C,436350.93,3680993.49,198.75,1994-08-15,1994,S,218.19999999999999,19.449999999999999
1013116,FSB122C,436350.93,3680993.49,200.16,1995-06-15,1995,S,218.19999999999999,18.039999999999999
1013116,FSB122C,436350.93,3680993.49,200.16999999999999,1995-10-04,1995,S,218.19999999999999,18.030000000000001
1013116,FSB122C,436350.93,3680993.49,198.75,1997-04-07,1997,S,218.19999999999999,19.449999999999999
1013116,FSB122C,436350.93,3680993.49,198.07999999999998,1997-07-09,1997,S,218.19999999999999,20.120000000000001
1013116,FSB122C,436350.93,3680993.49,202.34999999999999,1998-03-19,1998,S,218.19999999999999,15.85
1013116,FSB122C,436350.93,3680993.49,199.75,1996-03-15,1996,S,218.19999999999999,18.449999999999999
1013116,FSB122C,436350.93,3680993.49,199.47,1996-01-15,1996,S,218.19999999999999,18.73
1013116,FSB122C,436350.93,3680993.49,196.63999999999999,1999-12-06,1999,S,218.19999999999999,21.559999999999999
1013116,FSB122C,436350.93,3680993.49,197,1999-09-14,1999,S,218.19999999999999,21.199999999999999
1013116,FSB122C,436350.93,3680993.49,198.94,1997-03-19,1997,S,218.19999999999999,19.260000000000002
1013116,FSB122C,436350.93,3680993.49,198.84999999999999,1996-10-10,1996,S,218.19999999999999,19.350000000000001
1013116,FSB122C,436350.93,3680993.49,198.64999999999998,1996-07-31,1996,S,218.19999999999999,19.550000000000001
1013116,FSB122C,436350.93,3680993.49,199.42999999999998,1999-04-07,1999,S,218.19999999999999,18.77
1013116,FSB122C,436350.93,3680993.49,201.31999999999999,1998-07-27,1998,S,218.19999999999999,16.879999999999999
1013116,FSB122C,436350.93,3680993.49,199.64999999999998,1998-01-22,1998,S,218.19999999999999,18.550000000000001
1013116,FSB122C,436350.93,3680993.49,197.52999999999997,1997-09-10,1997,S,218.19999999999999,20.670000000000002
1013116,FSB122C,436350.93,3680993.49,198.44999999999999,1999-07-20,1999,S,218.19999999999999,19.75
1013116,FSB122C,436350.93,3680993.49,200.34999999999999,1998-10-22,1998,S,218.19999999999999,17.850000000000001
1013116,FSB122C,436350.93,3680993.49,198.5,1996-12-10,1996,S,218.19999999999999,19.699999999999999
1013116,FSB122C,436350.93,3680993.49,199.14999999999998,1996-06-14,1996,S,218.19999999999999,19.050000000000001
1013116,FSB122C,436350.93,3680993.49,198.25,1997-12-16,1997,S,218.19999999999999,19.949999999999999
1013116,FSB122C,436350.93,3680993.49,199.47999999999999,1999-03-23,1999,S,218.19999999999999,18.719999999999999
1013116,FSB122C,436350.93,3680993.49,199.78999999999999,1998-12-21,1998,S,218.19999999999999,18.41
1013116,FSB122C,436350.93,3680993.49,196.47,2000-01-10,2000,S,218.19999999999999,21.73
