STATION_SEQ|SITE_ID|STATION_ID|STATION_TYPE|STATION_STATUS_CODE|GRID_PLANE|COORDINATE_STATUS_CODE|NORTHING|EASTING|PLANIMETRIC_UNITS|LONGITUDE|LATITUDE|GROUND_ELEVATION|REFERENCE_ELEVATION|ELEVATION_UNITS|REFERENCE_ELEVATION_CODE|TOP_DEPTH|BOTTOM_DEPTH|DEPTH_UNITS|INSTALLATION_DATE|ISINDOMAIN|ISINDOMAIN2|ISINDOMAIN3|AQUIFER|TOP_ELEV|BOTTOM_ELEV
1025797|19|FSP-012|SEEPLINE|ACTIVE|UTM||3681184.41|436758.07|m|-81.679044767|33.2695584811|||ft|G||||||True|True|D||
1025798|19|FSP-014|SEEPLINE|ACTIVE|UTM||3681233.2|436782.11|m|-81.6787900638|33.2699999581|||ft|G||||||True|True|D||
1025799|19|FSP-019|SEEPLINE|ACTIVE|UTM||3681103.74|436867.3|m|-81.6778663865|33.2688372678|||ft|G||||||True|True|D||
1025800|19|FSP-026|SEEPLINE|ACTIVE|UTM||3681047.51|436916.9|m|-81.6773299401|33.2683329965|||ft|G||||||True|True|D||
1025801|19|FSP-032|SEEPLINE|ACTIVE|UTM||3681236.63|436951.47|m|-81.6769719423|33.2700408105|||ft|G||||||True|True|D||
1025802|19|FSP-034|SEEPLINE|ACTIVE|UTM||3681185.19|436990.05|m|-81.676554144|33.2695790957|||ft|G||||||True|True|D||
1025803|19|FSP-035|SEEPLINE|ACTIVE|UTM||3681169.23|437015.24|m|-81.6762825792|33.2694366139|||ft|G||||||True|True|D||
1025804|19|FSP-040|SEEPLINE|ACTIVE|UTM||3681237.81|437090.82|m|-81.6754758698|33.2700595919|||ft|G||||||True|True|D||
1025805|19|FSP-047|SEEPLINE|ACTIVE|UTM||3681358.83|436994.05|m|-81.6765232742|33.2711454977|||ft|G||||||True|True|D||
1025806|19|FSP-056|SEEPLINE|ACTIVE|UTM||3681569.79|437172.53|m|-81.6746216016|33.2730586924|||ft|G||||||True|True|D||
1025807|19|FSP-060|SEEPLINE|ACTIVE|UTM|L|3681582.89472|437184.846284|m|-81.67449027|33.2731776096|196.09999999999999|196.09999999999999|ft|G||||||True|True|D||
1025808|19|FSP-061|SEEPLINE|ACTIVE|UTM|L|3681534.13174|437253.509833|m|-81.6737496478|33.2727417835|190.09999999999999|190.09999999999999|ft|G||||||True|True|D||
1025809|19|FSP-062|SEEPLINE|ACTIVE|UTM|L|3681436.89896|437293.38476|m|-81.6733147796|33.2718670993|186|186|ft|G||||||True|True|D||
1025810|19|FSP-063|SEEPLINE|ACTIVE|UTM|L|3681381.74879|437305.640956|m|-81.6731793692|33.2713703776|185.40000000000001|185.40000000000001|ft|G||||||True|True|D||
1025811|19|FSP-064|SEEPLINE|ACTIVE|UTM|L|3681470.61673|437347.987867|m|-81.6727308438|33.2721743951|186.59999999999999|186.59999999999999|ft|G||||||True|True|D||
1025812|19|FSP-065|SEEPLINE|ACTIVE|UTM|L|3681545.55844|437358.26015|m|-81.6726257336|33.2728509386|188.5|188.5|ft|G||||||True|True|D||
1025813|19|FSP-066|SEEPLINE|ACTIVE|UTM|L|3681587.89119|437390.00864|m|-81.6722877756|33.2732346085|191.69999999999999|191.69999999999999|ft|G||||||True|True|D||
1025814|19|FSP-067|SEEPLINE|ACTIVE|UTM|L|3681653.94251|437408.260228|m|-81.6720963715|33.2738314267|200|200|ft|G||||||True|True|D||
1025815|19|FSP-068|SEEPLINE|ACTIVE|UTM|L|3681589.40943|437480.111886|m|-81.6713204359|33.2732535306|191|191|ft|G||||||True|True|D||
1025816|19|FSP-069|SEEPLINE|ACTIVE|UTM|L|3681528.26722|437519.343636|m|-81.6708949843|33.2727043242|186.09999999999999|186.09999999999999|ft|G||||||True|True|D||
